cluster	symbol	direction
0	Stat1	down_KO
0	Ly6a	down_KO
0	Pkm	down_KO
0	Ldha	down_KO
0	Slc1a5	down_KO
0	Myc	down_KO
0	Eomes	down_KO
0	Itgb2	down_KO
0	Cxcr3	down_KO
0	Foxo1	down_KO
0	Izumo1r	down_KO
0	Slc25a39	down_KO
0	Il7r	up_KO
0	Bcl9l	up_KO
0	Cd55	up_KO
0	Bcl2	up_KO
1	Lag3	down_KO
1	Sostdc1	down_KO
1	Bhlhe40	down_KO
1	Hif1a	down_KO
1	Il21	down_KO
1	Tnfrsf4	down_KO
1	Izumo1r	down_KO
1	Ly6a	down_KO
1	Pdcd1	down_KO
1	Tigit	down_KO
1	S100a11	down_KO
1	Maf	down_KO
1	Dusp1	down_KO
1	Tox	down_KO
1	Cxcr4	down_KO
1	Ifng	down_KO
1	Tbx21	down_KO
1	Pdcd4	up_KO
1	Trat1	up_KO
1	Cd96	up_KO
2	Dusp2	down_KO
2	Ly6a	down_KO
2	Ccl4	down_KO
2	Dusp1	down_KO
2	S1pr5	down_KO
2	Lat	down_KO
2	Jak3	down_KO
2	Pim1	down_KO
2	Myc	down_KO
2	Cxcr6	down_KO
2	Eomes	down_KO
2	Ier3	down_KO
2	Klrk1	up_KO
2	Klra7	up_KO
2	Klrc1	up_KO
2	Klre1	up_KO
2	Klrd1	up_KO
3	Stat1	down_KO
3	Ly6a	down_KO
3	Jak3	down_KO
3	Nr4a1	down_KO
3	Cd55	up_KO
3	Il7r	up_KO
4	Lag3	down_KO
4	Sostdc1	down_KO
4	Il1r2	down_KO
4	Tigit	down_KO
4	Pdcd1	down_KO
4	Cd81	down_KO
4	Cd52	up_KO
4	Sell	up_KO
4	Klrg1	up_KO
6	Ier3	down_KO
6	Gzmk	down_KO
6	Eomes	down_KO
6	Ccr5	down_KO
6	Maf	down_KO
6	Lag3	down_KO
6	Tigit	down_KO
6	Tox	down_KO
6	Pdcd1	down_KO
6	Ly6c2	up_KO
6	Gzma	up_KO
6	Klrd1	up_KO
6	Klre1	up_KO
6	Klrk1	up_KO
6	Cx3cr1	up_KO
